#sample,chr,startpos,endpos,BAF,pval,LogR,ntot,nMaj1_A,nMin1_A,frac1_A,nMaj2_A,nMin2_A,frac2_A,SDfrac_A,SDfrac_A_BS,frac1_A_0.025,frac1_A_0.975,frac1_A_corrected_for_purity,frac2_A_corrected_for_purity,,
A22-e,6,192157,2841556,0.89818775,1,-1.190823546,1.103480194,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,6,2842598,5483064,0.947269947,1,-0.525937583,1.914783766,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,6,6391883,21479514,0.577082907,0,0.060822929,2.96877287,1,1,0.590437257,2,1,0.409562743,0.004999345,0.004896876,0.580468442,0.599538174,0.525489159,0.364510841,,
A22-e,6,21482225,24862135,0.943986736,1,-0.491049929,1.957228892,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,6,24864254,32453853,0.570961098,0,0.171781034,3.225864478,2,1,0.52784177,2,2,0.47215823,0.005565047,0.005634898,0.516942168,0.538626145,0.469779175,0.420220825,,
A22-e,6,32497870,32657201,0.664036515,0.070039683,0.35018446,3.683010508,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,6,32657334,37903273,0.562548361,0,0.247620938,3.413314507,2,1,0.472221781,2,2,0.527778219,0.007538806,0.007582927,0.4572079,0.486628437,0.420277385,0.469722615,,
A22-e,6,37903660,41043148,0.93095786,1.47E-18,-0.889170614,1.436167255,1,0,0.457768376,2,0,0.542231624,0.04112986,0.041803175,0.372941657,0.540428893,0.407413855,0.482586145,,
A22-e,6,41070216,51865858,0.568629436,2.60E-203,0.523363727,4.184255634,2,2,0.324306298,3,2,0.675693702,0.009632171,0.009475436,0.304873054,0.343046722,0.288632605,0.601367395,,
A22-e,6,51873614,55118632,0.651773098,1,0.065188536,2.978518791,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,6,55133342,55259137,0.496695925,1,0.533789328,4.216394526,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,6,55259524,57177297,0.648786678,1,0.101219345,3.060091266,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,6,57210489,58139760,0.756643232,3.26E-12,-0.034164445,2.763860455,2,0,0.440550903,2,1,0.559449097,0.011039184,0.011082511,0.419168436,0.462324963,0.392090304,0.497909696,,
A22-e,6,58141876,58771788,0.653348962,1,0.092919319,3.041119301,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,6,61881006,98859194,0.760020156,0,-0.154653303,2.522611943,2,0,0.453020859,2,1,0.546979141,0.001936965,0.001857894,0.449181293,0.45639491,0.403188565,0.486811435,,
A22-e,6,98880543,99902994,0.632329248,7.85E-88,-0.825435122,1.492748622,1,0,0.470251477,1,1,0.529748523,0.01403632,0.013986804,0.441542494,0.497044319,0.418523815,0.471476185,,
A22-e,6,99903305,104693827,0.757047245,0,-0.219211936,2.401404389,2,0,0.442048659,2,1,0.557951341,0.005794504,0.005976729,0.429693714,0.454118488,0.393423307,0.496576693,,
A22-e,6,104694332,105352312,0.541084661,3.54E-36,0.166703055,3.213661959,2,1,0.322481218,2,2,0.677518782,0.021685735,0.021208166,0.280460656,0.362890306,0.287008284,0.602991716,,
A22-e,6,105353475,120926954,0.75828353,0,-0.202703236,2.431884892,2,0,0.446621895,2,1,0.553378105,0.003043304,0.003014492,0.440976461,0.452777838,0.397493487,0.492506513,,
A22-e,6,120929573,128514053,0.565940248,2.23E-238,0.37452958,3.749892446,2,1,0.494845856,2,2,0.505154144,0.005623163,0.005495691,0.483888272,0.506034109,0.440412812,0.449587188,,
A22-e,6,128530307,138818837,0.942354777,1,-0.487264347,1.952327817,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,6,138820724,144998293,0.653379743,1,0.057535759,2.961453927,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,6,145025472,146083967,0.50562619,1,-0.436587188,2.030958586,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,6,146086192,171050238,0.652411971,1,0.022882687,2.885304294,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,7,35489,43905719,0.65313633,1,0.044465802,2.932517835,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,7,43908866,159122682,0.50186693,1,0.434292852,3.918943069,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,8,139793,47120040,0.943553178,1,-0.508259582,1.931734042,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,8,47120426,47139951,0.577123038,0.607509939,0.391457199,3.797066403,3,2,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,8,47141802,47154177,0.961779276,1,-0.334667665,2.237807658,3,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,8,47157749,47212791,0.55453606,1.01E-06,0.687486379,4.718162169,2,2,0.480050523,3,2,0.519949477,0.080518973,0.081286653,0.325422455,0.640691196,0.427244965,0.462755035,,
A22-e,8,47216236,47378516,0.962275303,1,-0.167703634,2.527663739,3,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,8,47378797,48687774,0.562737079,1.42E-46,0.634390333,4.538746483,2,2,0.390643307,3,2,0.609356693,0.023610341,0.023697849,0.343559599,0.437042525,0.347672543,0.542327457,,
A22-e,8,48701329,55924884,0.649322387,1,0.130876764,3.128780138,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,8,55926304,56316340,0.774406026,1,1.620314017,9.231632098,7,2,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,8,56316741,126874215,0.650323503,1,0.083208403,3.019060479,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,8,126878608,127541678,0.518695838,5.31E-10,0.533137889,4.214379532,2,2,0.835026089,3,2,0.164973911,0.027041958,0.026650709,0.782847119,0.885710381,0.743173219,0.146826781,,
A22-e,8,127580690,132941814,0.658816616,1,0.349589325,3.681389619,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,8,132942099,133326153,0.946721821,1,-0.529326319,1.908854139,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,8,133329296,139370480,0.653622539,1,0.036322433,2.91462101,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,8,139374026,140661285,0.940835042,1,-0.524361511,1.89649375,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,8,140665076,141062675,0.652883539,1,0.000923561,2.837987654,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,8,141078311,146300622,0.939740633,1,-0.6044869,1.792034177,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,9,10469,141033723,0.501059203,1,0.39183851,3.79813543,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,9,141035407,141099663,0.940610158,1,0.000974623,2.838096847,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,10,77582,28544793,0.942220148,1,-0.519105753,1.904317043,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,10,28560610,31937548,0.64148061,1.08E-14,0.03840933,2.919197799,1,1,0.113248627,2,1,0.886751373,0.014071846,0.013149642,0.087816846,0.14009528,0.100791278,0.789208722,,
A22-e,10,31939485,34247084,0.941499699,1,-0.504964064,1.92550927,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,10,34247385,34498398,0.633132185,0.044500744,0.151765717,3.178015127,2,1,0.893055834,2,2,0.106944166,0.054103173,0.053572528,0.783202973,0.986519765,0.794819692,0.095180308,,
A22-e,10,34512759,34894899,0.932122829,0.279170992,-0.724543051,1.618775163,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,10,34958841,35792573,0.669139868,0.00141743,-0.011160586,2.812254805,2,0,0.073541963,2,1,0.926458037,0.022236719,0.022129239,0.02996451,0.114440815,0.065452347,0.824547653,,
A22-e,10,35793263,37165771,0.507727045,1,0.402433436,3.827952174,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,10,37169295,38019644,0.663473822,1,0.060301796,2.967611445,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,10,38020337,66692350,0.516675561,3.01E-212,0.258391064,3.440742603,2,1,0.137073178,2,2,0.862926822,0.004205894,0.004117497,0.12873648,0.144978531,0.121995128,0.768004872,,
A22-e,10,66694248,88327407,0.636270772,5.91E-106,-0.151992185,2.527725475,1,1,0.158135671,2,1,0.841864329,0.00680002,0.006646183,0.144703297,0.170656964,0.140740747,0.749259253,,
A22-e,10,88328462,106540909,0.668920609,1.48E-74,-0.243214038,2.357706175,2,0,0.072501741,2,1,0.927498259,0.003848257,0.003915642,0.064818953,0.079995322,0.064526549,0.825473451,,
A22-e,10,106611695,109079688,0.502236965,1,-0.951000012,1.347725714,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,10,109080262,135498976,0.667908279,2.22E-119,-0.312889626,2.234896564,2,0,0.067690129,2,1,0.932309871,0.002833732,0.002818442,0.061761797,0.072993622,0.060244215,0.829755785,,
A22-e,11,131128,30327162,0.651099913,1,0.042186508,2.927498407,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,11,30329232,30683687,0.944946994,1,-0.507952896,1.935190786,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,11,30685685,49210524,0.65224879,1,0.077915034,3.00709871,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,11,49214048,51098366,0.805970412,9.78E-35,0.868670838,5.382582273,4,1,0.456527524,5,1,0.543472476,0.033881628,0.033472383,0.394413003,0.520732743,0.406309496,0.483690504,,
A22-e,11,51191702,57446272,0.657583677,1,0.132257075,3.132011563,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,11,57448032,129624427,0.501326416,1,-0.486715144,1.953165242,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,11,129625118,134944160,0.648400107,1,0.036030351,2.913980972,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,12,75337,32459382,0.942167286,1,-0.520769524,1.901837405,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,12,32495246,32730558,0.504281646,1,0.452170373,3.970888522,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,12,32732506,32779690,0.668344121,0.092655792,0.023381342,2.88638716,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,12,32779938,34828307,0.946343455,1,-0.434397803,2.045538791,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,12,37857819,71918578,0.65144265,1,0.056078871,2.958215468,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,12,71921663,104010660,0.500589455,1,0.459203598,3.991501552,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,12,104014473,108950947,0.646339764,1,0.057036277,2.960343278,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,12,108951515,110955884,0.548575831,1.28E-63,0.570009851,4.329873632,2,2,0.542990346,3,2,0.457009654,0.026058703,0.025449714,0.494907664,0.596881625,0.483261408,0.406738592,,
A22-e,12,110974890,122674190,0.697844594,0,0.24593754,3.409045901,2,1,0.528665522,3,1,0.471334478,0.010311148,0.010282831,0.508411716,0.548614485,0.470512315,0.419487685,,
A22-e,12,122679383,126158715,0.650741006,1,-0.02574824,2.781476589,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,12,126243577,129211019,0.506904816,1,-0.519296731,1.90403227,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,12,129212519,129889867,0.599269148,5.15E-63,-0.263240404,2.321798433,1,1,0.443353979,2,1,0.556646021,0.020823406,0.020749041,0.401478104,0.482799378,0.394585041,0.495414959,,
A22-e,12,129890994,130358919,0.503840771,1,-0.527658326,1.891600906,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,12,130361719,133839206,0.699893391,4.70E-131,0.182946398,3.252846668,2,1,0.503280315,3,1,0.496719685,0.01739223,0.01751105,0.467560239,0.538342139,0.44791948,0.44208052,,
A22-e,13,19020917,31774060,0.501934,1,-0.479043023,1.964897087,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,13,31775774,49663440,0.900841262,1,-1.368514076,0.96211117,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,13,49663915,71883936,0.508635046,1,-0.407847642,2.076793712,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,13,71885336,74356683,0.658404153,1,0.106052666,3.071189524,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,13,74388087,74866755,0.49869189,1,-0.504097609,1.926814474,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,13,74870592,78785779,0.659763226,1,0.105575816,3.070092928,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,13,78786901,115109852,0.73802881,1,0.477578192,4.045830567,3,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,14,19083154,107289436,0.651313874,1,0.051517775,2.948097908,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,15,20001861,24664322,0.510755671,4.93E-08,0.40419601,3.832933771,2,1,0.089436389,2,2,0.910563611,0.015987715,0.016621913,0.056410118,0.120467561,0.079598386,0.810401614,,
A22-e,15,24664699,33464534,0.560364707,0,0.275453574,3.484616733,2,1,0.457511767,2,2,0.542488233,0.006240326,0.006369757,0.444265223,0.469030917,0.407185473,0.482814527,,
A22-e,15,33478072,34037447,0.937230875,1,-0.496865119,1.937739938,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,15,34038737,102505693,0.650149857,1,0.035278608,2.912334274,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,16,60816,25101928,0.964910796,1,0.404795902,3.834630647,3,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,16,25103819,25457476,0.897444928,9.93E-07,0.448971129,3.961545352,3,0,0.766596869,3,1,0.233403131,0.05035163,0.049823567,0.660971345,0.860343843,0.682271213,0.207728787,,
A22-e,16,25457625,32241590,0.959956061,1,0.41058167,3.85103274,3,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,16,32257485,32902625,0.610002467,0.749201925,0.699741126,4.760518238,3,2,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,16,32928490,51515288,0.941242532,1,0.02582776,2.891705166,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,16,51534277,90292766,0.902365485,1,-1.353482369,0.975216202,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,17,828,2339198,0.50532895,1,-0.560416418,1.843586915,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,17,2344493,2665633,0.732054814,1,0.449326753,3.962582905,3,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,17,2666160,8280009,0.950776058,1,-0.111964514,2.605790454,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,17,8283379,13699170,0.650206378,1,0.049134332,2.942823595,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,17,13700822,13733010,0.948141459,1,-0.509627473,1.939731995,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,17,13733806,17234181,0.649858673,1,0.014468542,2.867088673,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,17,17245906,19777035,0.946028938,1,-0.484523538,1.971117906,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,17,19799630,79998834,0.651673993,1,0.030560371,2.902018516,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,18,12007,40231502,0.501394505,1,-0.464040052,1.988019998,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,18,40233434,43609182,0.9051876,1,-1.341913271,0.987414566,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,18,43614685,78002730,0.503200304,1,-0.491578039,1.945761372,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,19,107958,27764330,0.578370116,0,-0.243122088,2.357872196,1,1,0.582326714,2,1,0.417673286,0.004614771,0.004612418,0.572895529,0.591180905,0.518270775,0.371729225,,
A22-e,19,27772747,59118148,0.501306895,1,-0.494933759,1.940666745,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,20,68749,29425717,0.902491166,1,-1.244720857,1.053955951,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,20,29429945,62955706,0.655367557,1,0.040259962,2.923261974,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,21,9412503,14474643,0.709318311,0.015340553,-0.29679502,2.262740292,2,0,0.253302755,2,1,0.746697245,0.094412733,0.091782236,0.0704972,0.428592103,0.225439452,0.664560548,,
A22-e,21,14532932,18822262,0.55720706,5.03E-306,0.240339206,3.394885927,2,1,0.436036619,2,2,0.563963381,0.009251778,0.009409885,0.416811085,0.454798607,0.388072591,0.501927409,,
A22-e,21,18822919,25431181,0.942414091,1,-0.495089371,1.940430783,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,21,25439649,39861864,0.559891472,0,0.244693995,3.405895829,2,1,0.454308729,2,2,0.545691271,0.004418076,0.00446475,0.445545135,0.463326505,0.404334769,0.485665231,,
A22-e,21,39864584,41608372,0.501372655,1,0.45797571,3.987895604,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,21,41610796,41787939,0.930137839,0.157880244,-0.466578507,1.984090755,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,21,41789960,42251261,0.503546258,1,0.466858525,4.014051174,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,21,42261858,45079245,0.954700578,1,-0.091598332,2.646349285,3,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,21,45082365,48101335,0.629930286,3.36E-89,0.786423901,5.070616766,3,2,0.508865576,4,2,0.491134424,0.022399942,0.022417511,0.464919653,0.554540386,0.452890363,0.437109637,,
A22-e,22,16052513,29293369,0.503673797,1,-0.491637713,1.945670672,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,22,29300306,31269579,0.652618871,1,0.011623803,2.860954142,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,22,31271550,51222766,0.501650248,1,-0.520340598,1.90247639,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,X,2699555,154915227,NA,NA,NA,2,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-e,X,2708546,150000185,NA,NA,NA,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-f,1,54676,903245,0.60268577,0.189568305,-0.907064167,1.5360629,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.89,NA,,
A22-f,1,903321,8510577,0.89270633,1.70E-12,-0.891214837,1.58726728,1,0,0.264657901,2,0,0.735342099,0.033425114,0.033194936,0.199983657,0.330613492,0.213843584,0.594156416,,
A22-f,1,8514844,9565028,0.599563777,3.76E-31,-3.27581714,0.02,0,0,0.882114793,1,0,0.117885207,0.012192741,0.012308224,0.85605801,0.903607116,0.712748753,0.095251247,,
A22-f,1,9592559,12847291,0.898404957,1,-0.822603185,1.687783752,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,1,12851566,12899057,0.538653959,0.039303068,-0.24397882,2.708937005,1,1,0.792705143,2,1,0.207294857,0.107345763,0.109574132,0.565139385,0.972645191,0.640505756,0.167494244,,
A22-f,1,12911429,28553388,0.90195993,1,-0.722106625,1.834048964,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,1,28578385,35355381,0.642019044,1,-0.178591458,2.856522302,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,1,35360861,36586077,0.569883996,6.13E-34,-0.095334775,3.05438532,2,1,0.548654842,2,2,0.451345158,0.037666254,0.037498326,0.470824766,0.619620321,0.443313112,0.364686888,,
A22-f,1,36636854,52576555,0.646548648,1,-0.095724717,3.05343174,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,1,52601675,58995519,0.895504114,1,-0.549708516,2.101077256,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,1,58997538,64094780,0.834209027,1,-1.220972984,1.14298951,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,1,64105056,65071910,0.500350728,1,-0.463199017,2.260219822,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,1,65152364,65294703,0.836252559,1,-1.190479035,1.177533884,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,1,65299088,92386365,0.504021959,1,-0.377831727,2.426899397,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,1,92386880,112470215,0.642222907,1,0.09879807,3.562618693,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,1,112475224,113714823,0.885662097,0.000103169,-0.589388715,2.031213556,2,0,0.948259705,2,1,0.051740295,0.013540857,0.013689812,0.91920689,0.972470805,0.766193842,0.041806158,,
A22-f,1,113715350,114141775,0.500473414,1,0.418539977,4.564163634,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,1,114146135,117867489,0.896009819,1,-0.491146267,2.20776108,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,1,117868790,118022704,0.658572056,0.061486648,0.075230338,3.497210555,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,1,118024957,118363223,0.896548681,1,-0.501668592,2.188271863,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,1,118429694,146944984,0.640822897,1,0.175333532,3.7825514,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,1,146961650,147993975,0.716087442,1,0.350942323,4.333539239,3,1,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,1,148180135,205570406,0.589341078,1,0.698331438,5.642454718,3,2,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,1,205570770,205631767,0.924623981,0.002464683,-0.657868461,1.982045713,1,0,0,2,0,1,0.261272165,0.264762585,-1.273500329,-0.232127224,0,0.808,,corrected MEK
A22-f,1,205636334,207075171,0.504773374,1,0.212654463,3.89410353,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,1,207079615,249201268,0.899543597,1,-0.492693066,2.204887215,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,2,23368,210207992,0.501726155,1,-0.447123234,2.290858676,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,2,210208407,210262300,0.82012107,0.076539843,-1.05672072,1.337989282,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,2,210262554,210386295,0.535662081,0.001183716,-0.339095603,2.505846493,1,1,0.809982384,2,1,0.190017616,0.061714541,0.059578716,0.691669303,0.921619763,0.654465766,0.153534234,,
A22-f,2,210387732,210758852,0.840641711,1,-1.073987723,1.31643015,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,2,210829124,243061593,0.502418932,1,-0.540992062,2.116683162,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,3,61466,5913291,0.640561827,1,0.122651549,3.629916891,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,3,5914259,6003395,0.78142158,9.01E-15,0.834706804,6.248853237,5,1,0.772156287,5,2,0.227843713,0.028184947,0.027312744,0.717948864,0.823124828,0.62390228,0.18409772,,
A22-f,3,6003582,25930204,0.639777965,1,0.02313267,3.356358802,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,3,25931689,26393940,0.538218155,5.80E-07,0.142584484,3.687013718,2,1,0.317701544,2,2,0.682298456,0.058278938,0.059591751,0.199219756,0.435418701,0.256702848,0.551297152,,
A22-f,3,26401306,45949954,0.639086021,1,0.03655054,3.39215061,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,3,45951602,46323939,0.536967757,1.74E-07,-0.044964919,3.179754513,2,1,0.30802278,2,2,0.69197722,0.05405756,0.054174369,0.196621095,0.407183353,0.248882406,0.559117594,,
A22-f,3,46324071,197872160,0.641702507,1,0.068620808,3.479057991,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,4,97884,25075451,0.639934385,1,-0.062697244,3.135119166,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,4,25111387,25493709,0.822145278,0.092436563,-1.271951884,1.086845201,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,4,25530864,25628002,0.512348288,0.330626206,-0.67459806,1.887526828,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,4,25636766,25990680,0.824922894,0.031880972,-1.339609681,1.01533076,1,0,0.974514479,1,1,0.025485521,0.012026057,0.012042357,0.949426037,0.996385489,0.787407699,0.020592301,,
A22-f,4,26004965,26090375,0.518652497,0.055283554,-0.57415811,2.057802629,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,4,26090862,26220613,0.840762055,1,-1.321458063,1.034189076,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,4,26231670,191042514,0.504059358,1,-0.366934626,2.44889464,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,5,12041,54414320,0.504459361,1,0.427405935,4.595221327,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,5,54444621,55463726,0.576000439,1,0.646622355,5.427106605,4,3,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,5,55464283,65665913,0.501781565,1,0.45332274,4.687110731,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,5,65686059,132006641,0.642040466,1,0.100346498,3.566953607,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,5,132054545,132295488,0.832912762,1,-1.361841512,0.992554319,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,5,132295729,175047644,0.640420417,1,0.003423904,3.304386106,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
A22-f,5,175047966,180701594,0.507908597,1,0.088728454,3.534541439,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.808,NA,,
